suffix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc
a,1,1,3,2,2
ael,1,1,7,3,3
aen,2,1,7,3,4
aer,2,2,7,4,5
aes,1,1,7,3,4
aeth,2,2,8,4,5
al,2,2,4,4,5
alia,2,1,6,3,2
alian,3,2,7,4,3
allan,3,2,6,4,4
allen,2,1,6,3,3
allis,2,1,6,3,3
an,2,2,3,4,5
ance,2,1,5,3,4
and,3,2,4,5,6
ane,2,1,4,3,4
anir,3,2,6,5,5
anis,2,1,6,4,4
anor,3,2,5,5,6
ante,2,1,5,3,4
anthe,2,1,6,3,3
anthir,3,2,7,5,5
ar,3,2,4,5,6
ara,3,2,5,4,3
aran,3,2,6,5,4
arel,3,2,6,4,4
arian,3,2,7,5,5
ariel,2,1,7,4,3
aris,3,2,6,4,4
arith,3,2,7,5,5
aros,3,2,6,4,5
arth,4,3,6,6,6
as,2,1,4,3,4
ath,3,2,5,5,6
athal,4,3,6,6,6
athien,3,2,7,5,4
athil,3,2,6,5,5
e,1,1,3,2,2
eal,1,1,5,3,3
ean,2,1,5,3,4
ear,2,2,5,4,5
eas,1,1,5,3,4
el,2,1,4,3,4
ela,2,1,5,3,2
elas,2,1,6,3,3
ele,1,1,5,2,2
elen,2,1,6,3,3
elia,2,1,6,3,2
elian,3,2,7,4,3
elis,2,1,6,3,3
ella,2,1,5,3,2
ellan,3,2,6,4,3
ellen,2,1,6,3,2
ellis,2,1,6,3,2
en,1,1,3,3,4
ence,2,1,5,3,3
end,2,2,4,4,5
ene,1,1,4,2,3
enes,2,1,5,3,3
enth,3,2,6,5,5
er,2,2,4,4,5
era,2,1,5,3,3
eran,2,1,6,4,4
erel,2,1,6,3,3
erian,2,1,7,4,4
erien,2,1,7,4,3
erion,3,2,7,5,5
eris,2,1,6,3,3
erith,2,1,7,4,4
eros,2,1,6,3,4
erth,3,3,6,5,5
es,1,1,4,2,3
ess,1,1,5,2,2
est,2,2,5,4,4
eth,2,2,5,4,5
ethal,3,3,6,5,5
ethien,2,2,7,4,3
ethil,2,2,6,4,3
i,1,1,4,2,2
ia,1,1,5,2,2
ial,1,1,6,3,3
ian,2,1,5,3,4
iar,2,2,6,4,5
ias,1,1,6,3,3
iel,1,1,6,3,3
ien,1,1,6,3,3
ies,1,1,6,3,3
il,2,1,4,3,3
ile,1,1,5,2,2
ilia,1,1,6,2,1
ilis,1,1,6,2,2
illa,2,1,5,3,2
illan,3,2,6,4,3
illen,2,1,6,3,2
illis,2,1,6,3,2
in,1,1,3,3,3
ince,2,1,5,3,2
ine,1,1,4,2,2
ines,2,1,5,3,2
ion,2,1,5,3,4
ir,2,1,4,4,4
ira,2,1,5,3,2
iran,2,1,6,4,3
irel,2,1,6,3,2
iris,2,1,6,3,2
irith,2,1,7,4,3
is,1,1,4,2,2
ith,2,2,5,4,4
ithal,3,3,6,5,4
ithien,2,2,7,4,2
ithil,2,2,6,4,2
ithir,3,3,7,5,4
o,2,1,3,3,4
oel,2,1,5,4,4
oen,3,1,5,4,5
oer,3,2,5,5,6
oes,2,1,5,4,5
ol,3,2,4,4,5
on,2,2,3,4,5
or,3,2,4,5,6
ora,3,2,5,4,4
oran,3,2,6,5,5
orel,3,2,6,4,5
orian,3,2,7,5,6
oriel,3,1,7,5,4
orien,3,1,7,5,4
orion,4,2,7,6,6
oris,3,2,6,4,5
orith,3,2,7,5,6
oros,3,2,6,4,6
orth,4,3,6,6,7
os,2,1,4,3,5
oth,3,2,5,5,6
othal,4,3,6,6,7
othien,3,2,7,5,5
othil,3,2,6,5,6
u,2,1,4,3,5
ual,2,1,6,4,5
uan,3,1,6,4,6
uar,3,2,6,5,6
uas,2,1,6,4,5
uel,2,1,6,4,5
uen,3,1,6,4,6
ues,2,1,6,4,5
uil,2,1,6,4,4
ulan,3,2,7,5,5
ullen,3,1,7,4,4
un,2,2,4,4,5
ur,3,2,5,5,6
ura,3,2,6,4,5
uran,3,2,7,5,6
urel,3,2,7,4,5
urian,3,2,8,5,6
uriel,3,1,8,5,4
urien,3,1,8,5,4
urion,4,2,8,6,6
uris,3,2,7,4,5
urith,3,2,8,5,6
uros,3,2,7,4,6
urth,4,3,7,6,7
us,2,1,5,3,6
uth,3,2,6,5,6
uthal,4,3,7,6,7
uthien,3,2,8,5,5
uthil,3,2,7,5,6
y,1,1,4,2,2
ya,1,1,5,2,1
yl,2,1,5,3,2
yn,2,1,5,3,3
yr,3,2,5,4,3
yra,3,2,6,4,2
yran,3,2,7,5,3
yrel,3,2,7,4,2
yrian,3,2,8,5,3
yriel,3,1,8,5,1
yrien,3,1,8,5,2
yrion,4,2,8,6,3
yris,3,2,7,4,2
yrith,3,2,8,5,3
yros,3,2,7,4,3
ys,2,1,5,3,2
yth,3,2,6,4,3
ythal,4,3,7,5,4
ythien,3,2,8,4,2
ythil,3,2,7,4,3
aelis,1,1,8,3,2
aelle,1,1,7,2,1
aendil,2,1,8,4,4
aeris,2,1,8,4,3
aerith,2,2,9,4,4
aethan,2,2,8,4,4
alian,2,1,7,4,3
aliath,3,2,8,5,4
alindë,2,1,8,3,2
alion,3,2,7,5,5
alith,3,2,7,5,4
allië,2,1,7,3,2
alwen,2,1,7,4,3
andir,3,2,7,5,5
andis,2,1,7,4,4
andon,3,2,6,5,5
annel,2,1,6,3,3
anor,3,2,6,5,6
anthas,3,2,7,5,5
anthir,3,2,8,5,5
areth,3,2,7,5,5
ariel,2,1,7,4,2
arion,3,2,7,5,5
arris,3,2,7,4,4
arwen,2,1,7,4,3
avar,3,2,7,5,5
aviel,2,1,7,4,3
eälis,1,1,8,3,2
eälle,1,1,7,2,1
ëlian,2,1,7,4,3
eliën,2,1,7,3,2
elion,3,2,7,5,4
elith,3,2,7,5,3
ellië,2,1,7,3,1
endil,2,1,7,4,4
endis,2,1,7,4,3
endon,3,2,6,5,5
ëndor,3,2,7,5,5
enril,2,1,7,4,4
ereth,3,2,7,5,4
erion,3,2,7,5,5
erris,3,2,7,4,4
iälis,1,1,8,3,1
iëlle,1,1,7,2,1
iendil,2,1,8,4,3
ieran,2,1,7,4,2
ilion,3,2,7,5,4
ilith,3,2,7,5,3
illië,2,1,7,3,1
indil,2,1,7,4,3
indir,3,2,7,5,4
indon,3,2,6,5,4
iriel,2,1,7,4,2
irion,3,2,7,5,4
irith,3,2,7,5,4
oälis,2,1,8,4,3
oälle,2,1,7,3,2
olian,3,2,7,5,4
olion,4,3,7,6,5
olith,4,3,7,6,5
ollië,3,2,7,4,3
ondil,3,2,7,5,5
ondir,4,3,7,6,6
ondon,4,3,6,6,6
oriel,3,2,7,5,3
orion,4,3,7,6,6
orith,4,3,7,6,6
uälis,2,1,8,4,4
uälle,2,1,7,3,3
ulian,3,2,7,5,5
ulion,4,3,7,6,6
ulith,4,3,7,6,6
undil,3,2,7,5,6
undir,4,3,7,6,7
uriel,3,2,7,5,4
urion,4,3,7,6,7
urith,4,3,7,6,7
yälis,1,1,8,3,1
yälle,1,1,7,2,1
ylian,2,1,7,4,2
ylion,3,2,7,5,3
ylith,3,2,7,5,2
yllië,2,1,7,3,1
yndil,2,1,7,4,3
yndir,3,2,7,5,4
yriel,2,1,7,4,1
yrion,3,2,7,5,3
yrith,3,2,7,5,3
